30316 1889	1889 2661672034
29368 6461	6461 2661617504
25215 11513	11513 2661566473
1208 6699	6699 2661590778
32050 15784	15784 2661514501
1170 2085	2085 2661651738
24810 9933	9933 2661525271
13436 15772	15772 2661495476
23333 10624	10624 2661549017
5244 12429	12429 2661434575
26554 30920	30920 2663342532
22479 8790	8790 2661513479
29025 2062	2062 2661680007
18824 456	456 2661684826
31605 7634	7634 2661637133
25721 13181	13181 2661444275
6393 32413	32413 2663295020
8790 13419	13419 2661455174
21722 17463	17463 2661401280
17944 19130	19130 2661429857
28531 13593	13593 2661473950
9632 14547	14547 2661472855
5462 12325	12325 2661437086
13981 9914	9914 2661514694
29514 149	149 2661701029
25263 13725	13725 2661468442
19344 11826	11826 2661557005
26317 29101	29101 2663306289
28779 7622	7622 2661634327
16868 5676	5676 2661597367
18399 5587	5587 2661597358
30400 22471	22471 2661367603
15544 31621	31621 2663321259
9520 10535	10535 2661533646
16590 23526	23526 2661338925
15973 11715	11715 2661551972
17544 5457	5457 2661582077
22684 20216	20216 2661416229
18335 13609	13609 2661463483
26109 10075	10075 2661528152
26404 24010	24010 2661356852
21186 14414	14414 2661482274
3269 18624	18624 2661406647
20123 7633	7633 2661625668
9036 14648	14648 2661474507
17745 13467	13467 2661465298
29800 29363	29363 2663304814
19114 26218	26218 2663341345
5040 2050	2050 2661656266
32142 4247	4247 2661585011
31461 5742	5742 2661607448
9831 14573	14573 2661473637
15223 16695	16695 2661381701
5326 1211	1211 2661666044
26955 320	320 2661703041
99 9768	9768 2661511162
8892 7432	7432 2661611556
28924 13255	13255 2661477391
23008 23772	23772 2661349086
29187 7787	7787 2661636003
17164 20299	20299 2661411607
5401 14653	14653 2661470913
3226 12763	12763 2661427985
2047 2059	2059 2661653236
17385 20986	20986 2661333804
16823 18403	18403 2661424355
2982 31287	31287 2663304636
2790 26081	26081 2663329632
1866 16306	16306 2661475795
25981 22597	22597 2661361062
8164 17361	17361 2661385309
6040 3528	3528 2661681226
1561 15925	15925 2661469729
23975 26417	26417 2663345067
5481 25325	25325 2663353239
1995 28451	28451 2663354141
31924 30953	30953 2663347438
1667 17465	17465 2661381127
20476 13489	13489 2661467660
10887 26965	26965 2663385816
26476 11095	11095 2661543915
7156 28724	28724 2663289951
12185 29097	29097 2663292217
19626 12870	12870 2661442034
20233 15276	15276 2661477392
27122 3005	3005 2661694838
17650 4166	4166 2661571402
4453 19684	19684 2661392218
25923 25915	25915 2663351533
19721 21939	21939 2661307703
21992 14171	14171 2661462723
6844 4000	4000 2661678039
29002 29433	29433 2663297732
726 14775	14775 2661451624
12822 16542	16542 2661375752
522 15085	15085 2661454584
3136 2559	2559 2661662104
19085 28338	28338 2663377278
22343 19245	19245 2661433967
8314 8133	8133 2661494759
